,fonte (v),Corrente (microA),Tensão (v),Menor dígito,Unnamed: 4,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
40,8.2,32980.0,0.909,1e-05,,0.03298,0.001632169210999072,0.0002886751345948129,0.00040824829046386303,4.846855509846909e-05,2.8867513459481293e-06,4.082482904638631e-06,27.562158884172224
41,8.4,34060.0,0.917,1e-05,,0.03406,0.001646025617459623,0.0002886751345948129,0.00040824829046386303,5.002740082528107e-05,2.8867513459481293e-06,4.082482904638631e-06,26.923076923076923
42,8.6,35090.0,0.924,1e-05,,0.03509,0.0016581499731126053,0.0002886751345948129,0.00040824829046386303,5.151407776844436e-05,2.8867513459481293e-06,4.082482904638631e-06,26.33228840125392
43,8.8,36000.0,0.93,1e-05,,0.036,0.0016685422779580187,0.0002886751345948129,0.00040824829046386303,5.2827549630850755e-05,2.8867513459481293e-06,4.082482904638631e-06,25.833333333333336
44,9.0,36880.0,0.936,1e-05,,0.03688,0.0016789345828034318,0.0002886751345948129,0.00040824829046386303,5.409772022306794e-05,2.8867513459481293e-06,4.082482904638631e-06,25.379609544468547
45,9.2,37990.0,0.944,1e-05,,0.03799,0.0016927909892639826,0.0002886751345948129,0.00040824829046386303,5.569986722006915e-05,2.8867513459481293e-06,4.082482904638631e-06,24.848644380100023
46,9.4,38590.0,0.948,1e-05,,0.03859,0.001699719192494258,0.0002886751345948129,0.00040824829046386303,5.656589262385359e-05,2.8867513459481293e-06,4.082482904638631e-06,24.565949727908784
47,9.6,39490.0,0.953,1e-05,,0.03949,0.0017083794465321026,0.0002886751345948129,0.00040824829046386303,5.7864930729530244e-05,2.8867513459481293e-06,4.082482904638631e-06,24.132691820714104
48,9.8,40530.0,0.961,1e-05,,0.04053,0.0017222358529926536,0.0002886751345948129,0.00040824829046386303,5.936604142942327e-05,2.8867513459481293e-06,4.082482904638631e-06,23.71083148285221
49,10.0,41500.0,0.967,1e-05,,0.0415,0.0017326281578380668,0.0002886751345948129,0.00040824829046386303,6.076611583220811e-05,2.8867513459481293e-06,4.082482904638631e-06,23.301204819277107
50,0.2,0.0,-0.218,1.0000000000000001e-07,,0.0,-0.00031985204913105266,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
51,0.4,0.0,-0.485,1.0000000000000001e-07,,0.0,-0.0007823096147519428,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
52,0.6,0.0,-0.687,1.0000000000000001e-07,,0.0,-0.0011321838778808565,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
53,0.8,0.0,-0.836,1.0000000000000001e-07,,0.0,-0.001390259448208619,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
54,1.0,0.0,-1.04,1.0000000000000001e-07,,0.0,-0.0017435978129526702,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
55,1.2,0.0,-1.287,1.0000000000000001e-07,,0.0,-0.0021714143624221825,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
56,1.4,0.0,-1.501,1.0000000000000001e-07,,0.0,-0.0025420732352419225,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
57,1.6,0.0,-1.672,1.0000000000000001e-07,,0.0,-0.0028382539233362002,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
58,1.8,0.0,-1.866,1.0000000000000001e-07,,0.0,-0.003174271780004563,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
