,fonte (v),Corrente (miliA),Tensão (v),Menor dígito,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
15,3.3,10.12,1.057,1.0,101.19999999999999,0.0018885127305192657,0.0002886751345948129,0.00040824829046386303,0.35922733748978514,0.2886751345948129,0.4082482904638631,0.010444664031620554
16,3.5,10.69,1.12,1.0,106.89999999999999,0.0019976319313961054,0.0002886751345948129,0.00040824829046386303,0.37897271669607036,0.2886751345948129,0.4082482904638631,0.010477081384471471
17,3.7,11.67,1.209,1.0,116.7,0.0021517844532697354,0.0002886751345948129,0.00040824829046386303,0.4129209125244204,0.2886751345948129,0.4082482904638631,0.010359897172236504
18,3.9,12.46,1.39,1.0,124.60000000000001,0.0024652856494397023,0.0002886751345948129,0.00040824829046386303,0.44028731528400866,0.2886751345948129,0.4082482904638631,0.011155698234349918
19,4.1,12.54,1.314,1.0,125.39999999999999,0.0023336497880644676,0.0002886751345948129,0.00040824829046386303,0.44305859657611885,0.2886751345948129,0.4082482904638631,0.010478468899521533
20,4.3,13.26,1.306,1.0,132.6,0.002319793381603917,0.0002886751345948129,0.00040824829046386303,0.46800012820511067,0.2886751345948129,0.4082482904638631,0.009849170437405732
21,4.5,14.15,1.45,1.0,141.5,0.0025692086978938346,0.0002886751345948129,0.00040824829046386303,0.4988306325798367,0.2886751345948129,0.4082482904638631,0.010247349823321554
22,4.7,15.01,1.572,1.0,150.1,0.0027805188964172382,0.0002886751345948129,0.00040824829046386303,0.5286219064700214,0.2886751345948129,0.4082482904638631,0.010473017988007996
23,4.9,15.51,1.624,1.0,155.1,0.00287058553841082,0.0002886751345948129,0.00040824829046386303,0.5459424145457101,0.2886751345948129,0.4082482904638631,0.010470664087685365
24,5.1,16.21,1.698,1.0,162.10000000000002,0.0029987572981709162,0.0002886751345948129,0.00040824829046386303,0.5701911258516745,0.2886751345948129,0.4082482904638631,0.010475015422578653
