,fonte (v),Corrente (microA),Tensão (v),Menor dígito,Unnamed: 4,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
28,5.8,23010.0,0.706,1e-05,,0.02301,0.00128056289706259,0.0002886751345948129,0.00040824829046386303,3.407809963891766e-05,2.8867513459481293e-06,4.082482904638631e-06,30.68231203824424
29,6.0,23830.0,0.707,1e-05,,0.02383,0.001282294947870159,0.0002886751345948129,0.00040824829046386303,3.52616676907564e-05,2.8867513459481293e-06,4.082482904638631e-06,29.66848510281158
30,6.2,24670.0,0.709,1e-05,,0.02467,0.0012857590494852965,0.0002886751345948129,0.00040824829046386303,3.647410325605461e-05,2.8867513459481293e-06,4.082482904638631e-06,28.739359546007293
31,6.4,25560.0,0.71,1e-05,,0.02556,0.0012874911002928654,0.0002886751345948129,0.00040824829046386303,3.775870760500152e-05,2.8867513459481293e-06,4.082482904638631e-06,27.77777777777778
32,6.6,26720.0,0.712,1e-05,,0.02672,0.0012909552019080032,0.0002886751345948129,0.00040824829046386303,3.943302338565144e-05,2.8867513459481293e-06,4.082482904638631e-06,26.646706586826344
33,6.8,27210.0,0.712,1e-05,,0.02721,0.0012909552019080032,0.0002886751345948129,0.00040824829046386303,4.0140277465408734e-05,2.8867513459481293e-06,4.082482904638631e-06,26.16685042263873
34,7.0,28280.0,0.715,1e-05,,0.02828,0.0012961513543307097,0.0002886751345948129,0.00040824829046386303,4.168468943549098e-05,2.8867513459481293e-06,4.082482904638631e-06,25.28288543140028
35,7.2,29240.0,0.716,1e-05,,0.02924,0.0012978834051382787,0.0002886751345948129,0.00040824829046386303,4.307033008154608e-05,2.8867513459481293e-06,4.082482904638631e-06,24.48700410396717
36,7.4,29960.0,0.717,1e-05,,0.02996,0.0012996154559458475,0.0002886751345948129,0.00040824829046386303,4.410956056608741e-05,2.8867513459481293e-06,4.082482904638631e-06,23.931909212283042
37,7.6,31130.0,0.719,1e-05,,0.03113,0.0013030795575609854,0.0002886751345948129,0.00040824829046386303,4.5798310103467066e-05,2.8867513459481293e-06,4.082482904638631e-06,23.09669129457115
38,7.8,31800.0,0.72,1e-05,,0.0318,0.0013048116083685542,0.0002886751345948129,0.00040824829046386303,4.676537180435969e-05,2.8867513459481293e-06,4.082482904638631e-06,22.641509433962263
39,8.0,32900.0,0.721,1e-05,,0.0329,0.001306543659176123,0.0002886751345948129,0.00040824829046386303,4.835308504463116e-05,2.8867513459481293e-06,4.082482904638631e-06,21.914893617021278
40,8.2,33740.0,0.722,1e-05,,0.03374,0.0013082757099836919,0.0002886751345948129,0.00040824829046386303,4.956552060992938e-05,2.8867513459481293e-06,4.082482904638631e-06,21.398933017190277
41,8.4,34510.0,0.724,1e-05,,0.03451,0.0013117398115988297,0.0002886751345948129,0.00040824829046386303,5.06769198781194e-05,2.8867513459481293e-06,4.082482904638631e-06,20.979426253259923
42,8.6,35200.0,0.724,1e-05,,0.0352,0.0013117398115988297,0.0002886751345948129,0.00040824829046386303,5.1672849092471514e-05,2.8867513459481293e-06,4.082482904638631e-06,20.568181818181817
43,8.8,36070.0,0.725,1e-05,,0.03607,0.0013134718624063985,0.0002886751345948129,0.00040824829046386303,5.292858592795894e-05,2.8867513459481293e-06,4.082482904638631e-06,20.099805932908236
44,9.0,37150.0,0.726,1e-05,,0.03715,0.0013152039132139674,0.0002886751345948129,0.00040824829046386303,5.4487431654770936e-05,2.8867513459481293e-06,4.082482904638631e-06,19.542395693135933
45,9.2,37990.0,0.727,1e-05,,0.03799,0.0013169359640215362,0.0002886751345948129,0.00040824829046386303,5.569986722006915e-05,2.8867513459481293e-06,4.082482904638631e-06,19.13661489865754
46,9.4,38760.0,0.728,1e-05,,0.03876,0.0013186680148291052,0.0002886751345948129,0.00040824829046386303,5.681126648825918e-05,2.8867513459481293e-06,4.082482904638631e-06,18.78224974200206
47,9.6,39700.0,0.729,1e-05,,0.0397,0.0013204000656366743,0.0002886751345948129,0.00040824829046386303,5.81680396208548e-05,2.8867513459481293e-06,4.082482904638631e-06,18.36272040302267
48,9.8,40580.0,0.73,1e-05,,0.04058,0.001322132116444243,0.0002886751345948129,0.00040824829046386303,5.9438210213071975e-05,2.8867513459481293e-06,4.082482904638631e-06,17.989157220305568
49,10.0,41610.0,0.731,1e-05,,0.04161,0.001323864167251812,0.0002886751345948129,0.00040824829046386303,6.092488715623526e-05,2.8867513459481293e-06,4.082482904638631e-06,17.56789233357366
50,0.2,0.0,-0.197,1.0000000000000001e-07,,0.0,-0.00028347898217210627,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
